"Model","Accuracy","Kappa","Precision","Recall","AUC"
"Random Forest",0.745,0.287709497206704,0.655172413793104,0.316666666666667,0.756488095238095
"Logistic Regression",0.73,0.318181818181818,0.5625,0.45,0.729642857142857
"Decision Tree",0.71,0.275,0.52,0.433333333333333,0.706428571428572
